ORIG_INDEX,Unnamed: 0,Name,CAS,Year,Status,Is_a_Metabolite,Has_a_Metabolite,Route,VD(liter),Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),SMILES,ChEMBL_ID,pKa_acidic_cx,pKa_basic_cx,IonType,Tmax,Cmax_uM,log_t1/2(hour),log_VD(liter),log_Cl(liter/hour),log_Cmax_uM,logit_F(percentage),logit_PPB(percentage),log_Tmax,NAME_NORM,LogP,MW,BCS_Candidate
0,0,SULFAPYRIDINE,144-83-2,1939,DISCONTINUED, 81 ,,ORAL ,,,,,,,, ;,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,CHEMBL700,6.24,2.14,Anionic,,,,,,,,,,SULFAPYRIDINE,1.4646,249.29500000000004,Class I/III (High Solubility)
1,1,BUTABARBITAL,125-40-6,1939,DISCONTINUED,,,ORAL ,,,100.0,,,,,,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],CHEMBL449,7.48,,Neutral,,,2.0000000043429447,,,,,,,BUTABARBITAL,-1.4169999999999978,234.231,Class I/III (High Solubility)
2,2,GUANIDINE,113-00-8,1939,DISCONTINUED,,,ORAL ,,,,,,,,,N=C(N)N,CHEMBL821,,12.55,Cationic,,,,,,,,,,GUANIDINE,-1.1614300000000002,59.072,Class I/III (High Solubility)
3,3,MENADIONE,58-27-5,0,DISCONTINUED,,,ORAL ,,,,,,,, ;,CC1=CC(=O)c2ccccc2C1=O,CHEMBL590,,,Neutral,,,,,,,,,,MENADIONE,2.0119,172.18299999999996,Class I/III (High Solubility)
4,4,THEOPHYLLINE,58-55-9,1940,,,,ORAL RECTAL INJECTION,29.2,2.5,8.7,40.0,,,, ;,Cn1c(=O)c2[nH]cnc2n(C)c1=O,CHEMBL1355736,7.82,,Neutral,,,0.9395193025375216,1.4653828663215167,0.3979401823897956,,,-0.1760912590556812,,THEOPHYLLINE,-1.0397000000000003,180.167,Class I/III (High Solubility)
5,5,ERGOCALCIFEROL,50-14-6,1941,,,,ORAL INJECTION INTRAVENOUS ,,,,,,,,,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,CHEMBL1536,,,Neutral,,,,,,,,,,ERGOCALCIFEROL,7.641000000000008,396.6590000000001,Class II (Low Sol/High Perm)
6,6,DIETHYLSTILBESTROL,56-53-1,1973,DISCONTINUED,,,ORAL VAGINAL INJECTION ,,,,,,,, ;,CCC(=O)Oc1ccc(/C(CC)=C(\CC)c2ccc(OC(=O)CC)cc2)cc1,CHEMBL411,8.63,,Neutral,,,,,,,,,,DIETHYLSTILBESTROL,6.048200000000006,380.4840000000001,Class II (Low Sol/High Perm)
7,7,SULFADIAZINE,68-35-9,1941,,,,ORAL INJECTION ,18.8,2.1,7.0,56.0,,,, ;,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+],CHEMBL439,6.99,2.01,Anionic,,,0.8450981020563213,1.2741578723644496,0.3222195015407662,,,0.1047353505200129,,SULFADIAZINE,1.4504,357.14300000000003,Class I/III (High Solubility)
8,8,MEPERIDINE,57-42-1,1942,,,,ORAL INJECTION ,149.5,19.1,7.9,58.0,,1.38,MICROMOLAR,,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl,CHEMBL607,,8.16,Cationic,,1.38,0.8976271462644231,2.174641195565428,1.281033389985658,0.1398794011072687,,0.1401787031650368,,MEPERIDINE,2.6349000000000014,283.7989999999999,Class I/III (High Solubility)
9,9,HOMATROPINE METHYLBROMIDE,80-49-9,1943,,,,ORAL ,,,,,,,, ;,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2.[Br-],CHEMBL1200851,11.99,,Neutral,,,,,,,,,,HOMATROPINEMETHYLBROMIDE,-0.9629999999999976,370.287,Class I/III (High Solubility)
