PK Parameter,n,Model Variant,AAFE,%2FE,%5FE
t_half,215,A_baseline,2.8,40.9,82.8
Vd,172,A_baseline,3.03,41.3,70.9
CL,166,A_baseline,3.07,36.7,80.1
F,102,A_baseline,1.98,71.6,89.2
PPB,188,A_baseline,1.41,84.6,95.2
Cmax,136,A_baseline,10.07,16.9,41.2
Tmax,134,A_baseline,1.68,74.6,97.8
t_half,215,B_ion,2.86,38.1,80.0
Vd,172,B_ion,2.92,34.9,78.5
CL,166,B_ion,3.06,39.2,74.7
F,102,B_ion,2.0,69.6,88.2
PPB,188,B_ion,1.44,82.4,95.7
Cmax,136,B_ion,9.56,15.4,44.1
Tmax,134,B_ion,1.72,68.7,98.5
t_half,215,C_physio,2.75,40.5,82.8
Vd,172,C_physio,2.66,39.5,81.4
CL,166,C_physio,2.86,41.6,77.7
F,102,C_physio,2.0,67.6,87.3
PPB,188,C_physio,1.41,81.9,95.7
Cmax,136,C_physio,9.0,16.9,43.4
Tmax,134,C_physio,1.67,73.9,97.8
